             5-tuple      * (global)   ipdst        ipdst/16     ipsrc,ipdst  
chi-15       10           10           10           10           10           
sj-12        10           1            1            1            10           
imc1         10           10           10           10           10           
imc2         10           10           10           10           10           
mawi-15      10           1            10           10           10           
