             5-tuple      * (global)   ipdst        ipdst/16     ipsrc,ipdst  
chi-15       27           9            27           26           27           
sj-12        5            1            1            1            5            
imc1         5            2            4            3            4            
imc2         4            2            3            2            4            
mawi-15      3            1            3            2            3            
