             5-tuple      * (global)   ipdst        ipdst/16     ipsrc,ipdst  
chi-15       174          282          190          230          170          
sj-12        49           0            0            0            48           
imc1         0            0            0            0            0            
imc2         20           0            2            82           1            
mawi-15      18           0            20           35           18           
