             5-tuple      * (global)   ipdst        ipdst/16     ipsrc,ipdst  
chi-15       116          60           122          180          118          
sj-12        47           0            0            0            47           
imc1         14           18           14           15           14           
imc2         38           18           25           18           38           
mawi-15      52           0            31           18           50           
