             5-tuple      * (global)   ipdst        ipdst/16     ipsrc,ipdst  
chi-15       950          995          922          1082         918          
sj-12        405          171          244          240          400          
imc1         1018         398          925          453          903          
imc2         443          82           313          82           448          
mawi-15      599          499          586          515          519          
