             5-tuple      * (global)   ipdst        ipdst/16     ipsrc,ipdst  
chi-15       30           9            29           29           30           
sj-12        6            1            2            2            6            
imc1         6            3            5            4            6            
imc2         5            2            3            2            5            
mawi-15      4            2            4            2            4            
