             5-tuple      * (global)   ipdst        ipdst/16     ipsrc,ipdst  
chi-15       10           10           10           11           10           
sj-12        19           1            1            1            20           
imc1         10           10           10           10           10           
imc2         10           10           10           10           10           
mawi-15      13           1            12           10           14           
