             5-tuple      * (global)   ipdst        ipdst/16     ipsrc,ipdst  
chi-15       14           100          13           28           13           
sj-12        513          90           100          100          476          
imc1         271          100          210          115          248          
imc2         276          42           103          42           262          
mawi-15      179          100          317          118          316          
