# caida-sj12-opp
# Q-W=16-16
# Throughput (min)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         
1.0                              1.0                              1.0                              1.0                              1.0                              
2.0                              0.99921                          0.99996                          0.99959                          0.99961                          
3.0                              0.99235                          0.99994                          0.99804                          0.99825                          
4.0                              0.75776                          0.99992                          0.99473                          0.99559                          
5.0                              0.60621                          0.9999                           0.86916                          0.87955                          
6.0                              0.50518                          0.99989                          0.7694                           0.77963                          
7.0                              0.43301                          0.99989                          0.69888                          0.70859                          
8.0                              0.37888                          0.99988                          0.64562                          0.65536                          
9.0                              0.33679                          0.99988                          0.60365                          0.61316                          
10.0                             0.30311                          0.99987                          0.57049                          0.57992                          
11.0                             0.27555                          0.99987                          0.54314                          0.55257                          
12.0                             0.25259                          0.99985                          0.52043                          0.52973                          
13.0                             0.23316                          0.9998                           0.50111                          0.51042                          
14.0                             0.21651                          0.99975                          0.48455                          0.49387                          
15.0                             0.20207                          0.99971                          0.47021                          0.47951                          
16.0                             0.18944                          0.99967                          0.45823                          0.46739                          
17.0                             0.1783                           0.99964                          0.44662                          0.45588                          
18.0                             0.1684                           0.99961                          0.43673                          0.44599                          
19.0                             0.15953                          0.99959                          0.42796                          0.43721                          
20.0                             0.15156                          0.99955                          0.42002                          0.42926                          
21.0                             0.14434                          0.99953                          0.41282                          0.42205                          
22.0                             0.13778                          0.99951                          0.40629                          0.41553                          
23.0                             0.13179                          0.9995                           0.40034                          0.40955                          
24.0                             0.1263                           0.99944                          0.39488                          0.4041                           
25.0                             0.12125                          0.99939                          0.38984                          0.39905                          
26.0                             0.11658                          0.99931                          0.38518                          0.3944                           
27.0                             0.11227                          0.99923                          0.38089                          0.39008                          
28.0                             0.10826                          0.99915                          0.37689                          0.3861                           
29.0                             0.10452                          0.99905                          0.37317                          0.38236                          
30.0                             0.10104                          0.99897                          0.3697                           0.37888                          
