# mawi15-opp
# Q-W=1-16
# 99^{th}\% max queue occupancy (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         
1.0                              1.0                              1.0                              1.0                              1.0                              
2.0                              31.0                             12.0                             13.0                             21.0                             
3.0                              76.0                             25.0                             27.0                             42.0                             
4.0                              208.0                            38.0                             39.0                             73.0                             
5.0                              3026.0                           55.0                             58.0                             145.0                            
6.0                              13064.0                          81.0                             92.0                             258.0                            
7.0                              25046.0                          135.0                            162.0                            931.0                            
8.0                              34303.0                          202.0                            238.0                            6383.0                           
9.0                              41503.0                          268.01                           313.0                            14508.0                          
10.0                             62681.0                          355.0                            1814.0                           21995.0                          
11.0                             51957.0                          1403.0                           5718.0                           28829.0                          
12.0                             55877.0                          5017.0                           11020.0                          34701.0                          
13.0                             59194.0                          8397.0                           18020.0                          39564.0                          
14.0                             62037.0                          14779.0                          22516.0                          43691.0                          
15.0                             64500.01                         28865.0                          27621.0                          53286.0                          
16.0                             66656.01                         24403.0                          46200.0                          80737.0                          
17.0                             68558.01                         46830.0                          72843.0                          81356.01                         
18.0                             70249.01                         71669.0                          72161.0                          55629.0                          
19.0                             71762.01                         74618.01                         42182.0                          57874.0                          
20.0                             73124.01                         39994.0                          44769.0                          59924.01                         
21.0                             74356.01                         41300.0                          47130.0                          61809.0                          
22.0                             75476.01                         43696.01                         49233.0                          63443.01                         
23.0                             76499.01                         46048.0                          51181.0                          64964.01                         
24.0                             77437.01                         48048.0                          53021.01                         66414.0                          
25.0                             78299.01                         49982.01                         54754.0                          67759.01                         
26.0                             79095.01                         51724.0                          56451.0                          68984.0                          
27.0                             79832.01                         53413.01                         58067.0                          70130.0                          
28.0                             80517.01                         54985.0                          59534.0                          71096.01                         
29.0                             81154.01                         56537.0                          60851.01                         72126.01                         
30.0                             81749.01                         57964.01                         62029.01                         72969.01                         
