             5-tuple      * (global)   ipdst        ipdst/16     ipsrc,ipdst  
chi-15       10           96           9            23           9            
sj-12        92           90           100          100          93           
imc1         100          100          100          100          100          
imc2         100          42           100          42           100          
mawi-15      91           100          100          100          100          
