             5-tuple      * (global)   ipdst        ipdst/16     ipsrc,ipdst  
chi-15       137          282          144          259          143          
sj-12        190          0            0            78           158          
imc1         0            0            0            0            0            
imc2         12           0            113          82           1            
mawi-15      12           60           14           25           12           
