             5-tuple      * (global)   ipdst        ipdst/16     ipsrc,ipdst  
chi-15       30           10           30           30           30           
sj-12        9            2            3            3            9            
imc1         11           4            10           6            10           
imc2         6            2            3            2            5            
mawi-15      10           4            9            6            9            
