             5-tuple      * (global)   ipdst        ipdst/16     ipsrc,ipdst  
chi-15       30           10           30           30           30           
sj-12        24           2            3            3            22           
imc1         20           4            18           8            19           
imc2         11           2            4            2            11           
mawi-15      26           4            21           8            23           
