             5-tuple      * (global)   ipdst        ipdst/16     ipsrc,ipdst  
chi-15       175          995          192          320          186          
sj-12        1223         171          285          283          1128         
imc1         1993         398          1613         797          1741         
imc2         1061         82           367          82           1063         
mawi-15      1879         379          1703         717          1845         
