             5-tuple      * (global)   ipdst        ipdst/16     ipsrc,ipdst  
chi-15       18           100          18           35           17           
sj-12        394          90           100          100          303          
imc1         244          100          210          104          190          
imc2         204          42           100          42           201          
mawi-15      289          100          263          108          282          
