             5-tuple      * (global)   ipdst        ipdst/16     ipsrc,ipdst  
chi-15       5            5            5            5            5            
sj-12        5            1            1            1            5            
imc1         1            1            1            1            1            
imc2         2            1            2            1            2            
mawi-15      1            1            1            1            1            
