             5-tuple      * (global)   ipdst        ipdst/16     ipsrc,ipdst  
chi-15       12           100          11           24           11           
sj-12        124          90           100          100          164          
imc1         291          100          239          114          265          
imc2         267          42           102          42           289          
mawi-15      108          100          258          118          269          
