             5-tuple      * (global)   ipdst        ipdst/16     ipsrc,ipdst  
chi-15       37           18           43           42           48           
sj-12        5            0            0            0            5            
imc1         0            0            0            0            0            
imc2         12           0            2            0            1            
mawi-15      0            0            0            0            0            
