# imc2-opp-dim
# quelen-Q-W=10-16-16
# Throughput (min)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         ipsrc,ipdst                      
1.0                              1.0                              1.0                              1.0                              1.0                              1.0                              
2.0                              0.99819                          0.99999                          0.99999                          0.99869                          0.99999                          
3.0                              0.81625                          0.99939                          0.99705                          0.81901                          0.99662                          
4.0                              0.69334                          0.99112                          0.98673                          0.69651                          0.9905                           
5.0                              0.61432                          0.98176                          0.95626                          0.61754                          0.98316                          
6.0                              0.55892                          0.97715                          0.91901                          0.56214                          0.977                            
7.0                              0.51808                          0.97114                          0.8801                           0.52138                          0.97069                          
8.0                              0.486                            0.96475                          0.84309                          0.48933                          0.96413                          
9.0                              0.45885                          0.95905                          0.80977                          0.46225                          0.95809                          
10.0                             0.4355                           0.95397                          0.78124                          0.43894                          0.95121                          
11.0                             0.41346                          0.94938                          0.75693                          0.41697                          0.94196                          
12.0                             0.38941                          0.94161                          0.73605                          0.39312                          0.93302                          
13.0                             0.36316                          0.93391                          0.71753                          0.367                            0.92456                          
14.0                             0.33811                          0.92572                          0.70137                          0.34198                          0.91656                          
15.0                             0.31602                          0.91634                          0.68629                          0.31989                          0.90859                          
16.0                             0.29644                          0.90673                          0.67315                          0.30034                          0.901                            
17.0                             0.27907                          0.89759                          0.6599                           0.28295                          0.89333                          
18.0                             0.26357                          0.88874                          0.64814                          0.26745                          0.88583                          
19.0                             0.24969                          0.88022                          0.63647                          0.25358                          0.87797                          
20.0                             0.23721                          0.87185                          0.62399                          0.2411                           0.86939                          
21.0                             0.22591                          0.86153                          0.61091                          0.22981                          0.85841                          
22.0                             0.21564                          0.84825                          0.59797                          0.21954                          0.84468                          
23.0                             0.20626                          0.8335                           0.58513                          0.21018                          0.82969                          
24.0                             0.19767                          0.81869                          0.57279                          0.20158                          0.81456                          
25.0                             0.18977                          0.80343                          0.56099                          0.19369                          0.80019                          
26.0                             0.18247                          0.78762                          0.54967                          0.18638                          0.7866                           
27.0                             0.1757                           0.77262                          0.53884                          0.17962                          0.77328                          
28.0                             0.16944                          0.75794                          0.52881                          0.17336                          0.76073                          
29.0                             0.16359                          0.74423                          0.51902                          0.16752                          0.74877                          
30.0                             0.15814                          0.7311                           0.50984                          0.16206                          0.73697                          
