# imc2-opp-dim
# quelen-Q-W=10-1-16
# Throughput (min)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         ipsrc,ipdst                      
1.0                              1.0                              1.0                              1.0                              1.0                              1.0                              
2.0                              0.99819                          0.99999                          0.99999                          0.99869                          0.99999                          
3.0                              0.81625                          0.9989                           0.99471                          0.81766                          0.99469                          
4.0                              0.69334                          0.98526                          0.94064                          0.69461                          0.97764                          
5.0                              0.61432                          0.96027                          0.84979                          0.61522                          0.95473                          
6.0                              0.55892                          0.92531                          0.7726                           0.55974                          0.9186                           
7.0                              0.51808                          0.88775                          0.71153                          0.51885                          0.88241                          
8.0                              0.486                            0.85719                          0.66644                          0.48662                          0.84326                          
9.0                              0.45885                          0.81605                          0.62794                          0.45944                          0.79982                          
10.0                             0.4355                           0.77857                          0.5933                           0.436                            0.76064                          
11.0                             0.41346                          0.74175                          0.56509                          0.41406                          0.72909                          
12.0                             0.38941                          0.70929                          0.53905                          0.38999                          0.70028                          
13.0                             0.36316                          0.68129                          0.51941                          0.3639                           0.67422                          
14.0                             0.33811                          0.65565                          0.49817                          0.33869                          0.6483                           
15.0                             0.31602                          0.6302                           0.48192                          0.3166                           0.62292                          
16.0                             0.29644                          0.60681                          0.46298                          0.29688                          0.5991                           
17.0                             0.27907                          0.58562                          0.44489                          0.2794                           0.57839                          
18.0                             0.26357                          0.56052                          0.42563                          0.26384                          0.55503                          
19.0                             0.24969                          0.53494                          0.40429                          0.24996                          0.53067                          
20.0                             0.23721                          0.5079                           0.37872                          0.23751                          0.50274                          
21.0                             0.22591                          0.48008                          0.35348                          0.22617                          0.47406                          
22.0                             0.21564                          0.45071                          0.33406                          0.21583                          0.44686                          
23.0                             0.20626                          0.42939                          0.31506                          0.20653                          0.42353                          
24.0                             0.19767                          0.40851                          0.2995                           0.19785                          0.40506                          
25.0                             0.18977                          0.39075                          0.28489                          0.18999                          0.38764                          
26.0                             0.18247                          0.3751                           0.27275                          0.18273                          0.36993                          
27.0                             0.1757                           0.36192                          0.26062                          0.17592                          0.35365                          
28.0                             0.16944                          0.34496                          0.25144                          0.1696                           0.3426                           
29.0                             0.16359                          0.33242                          0.2424                           0.16385                          0.32864                          
30.0                             0.15814                          0.32403                          0.23328                          0.1583                           0.31588                          
