# caida-sj12-opp-dim
# quelen-Q-W=10-16-16
# 99^{th}\% latency (cycles) (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         
1.0                              0.0                              0.0                              0.0                              0.0                              
2.0                              19.0                             5                                20.0                             20.0                             
3.0                              29.0                             12.0                             30.0                             30.0                             
4.0                              39.0                             18.0                             40.0                             40.0                             
5.0                              49.0                             21.0                             50.0                             50.0                             
6.0                              59.0                             25.0                             60.0                             60.0                             
7.0                              69.0                             29.0                             70.0                             70.0                             
8.0                              79.0                             32.0                             80.0                             80.0                             
9.0                              89.0                             36.0                             91.0                             90.0                             
10.0                             99.0                             40.0                             101.0                            100.0                            
11.0                             109.0                            43.0                             110.0                            110.0                            
12.0                             119.0                            47.0                             120.0                            120.0                            
13.0                             129.0                            52.0                             130.0                            130.0                            
14.0                             139.0                            57.0                             140.0                            140.0                            
15.0                             149.0                            63.0                             150.0                            150.0                            
16.0                             159.0                            67.0                             159.0                            159.0                            
17.0                             169.0                            74.0                             170.0                            170.0                            
18.0                             179.0                            84.0                             180.0                            180.0                            
19.0                             189.0                            95.0                             190.0                            190.0                            
20.0                             199.0                            109.0                            200.0                            200.0                            
21.0                             209.0                            124.0                            210.0                            210.0                            
22.0                             219.0                            139.0                            220.0                            220.0                            
23.0                             229.0                            155.0                            230.0                            230.0                            
24.0                             239.0                            174.0                            240.0                            240.0                            
25.0                             249.0                            193.0                            250.0                            250.0                            
26.0                             259.0                            211.0                            260.0                            260.0                            
27.0                             269.0                            229.0                            270.0                            270.0                            
28.0                             279.0                            246.0                            280.0                            280.0                            
29.0                             289.0                            262.0                            290.0                            290.0                            
30.0                             299.0                            277.0                            300.0                            300.0                            
