# imc1-haz-1F
# Q-W=0-0
# Fract. data hazards (99^{th}%)
# Pipeline depth (clock cycles)  * (global)                       
1.0                              0.0                              
2.0                              0.0599266370844                  
3.0                              0.0762379562126                  
4.0                              0.0969755200597                  
5.0                              0.10477836851                    
6.0                              0.108411244619                   
7.0                              0.10967519451                    
8.0                              0.110287779805                   
9.0                              0.111639778934                   
10.0                             0.112921604332                   
11.0                             0.113939151867                   
12.0                             0.114340348488                   
13.0                             0.1150767743                     
14.0                             0.116643353029                   
15.0                             0.116951574572                   
16.0                             0.120231969435                   
17.0                             0.123456179679                   
18.0                             0.124220144454                   
19.0                             0.139051713391                   
20.0                             0.155828216887                   
21.0                             0.155828216887                   
22.0                             0.155828216887                   
23.0                             0.155828216887                   
24.0                             0.155828216887                   
25.0                             0.155828216887                   
26.0                             0.155828216887                   
27.0                             0.155828216887                   
28.0                             0.155828216887                   
29.0                             0.155828216887                   
30.0                             0.155828216887                   
