             5-tuple      * (global)   ipdst        ipdst/16     ipsrc,ipdst  
chi-15       62           36           71           70           81           
sj-12        76           1            52           50           43           
imc1         1            1            1            1            1            
imc2         10           42           84           42           2            
mawi-15      25           31           27           42           27           
