             5-tuple      * (global)   ipdst        ipdst/16     ipsrc,ipdst  
chi-15       27           8            27           26           28           
sj-12        6            1            2            2            5            
imc1         1            1            1            1            1            
imc2         3            2            3            2            2            
mawi-15      3            2            3            3            3            
