             5-tuple      * (global)   ipdst        ipdst/16     ipsrc,ipdst  
chi-15       22           8            21           22           21           
sj-12        4            1            1            1            4            
imc1         1            1            1            1            1            
imc2         3            1            2            2            2            
mawi-15      2            2            2            2            2            
