             5-tuple      * (global)   ipdst        ipdst/16     ipsrc,ipdst  
chi-15       14           36           13           28           13           
sj-12        116          1            43           43           88           
imc1         1            1            1            1            1            
imc2         5            42           45           42           40           
mawi-15      16           31           21           40           16           
