             5-tuple      * (global)   ipdst        ipdst/16     ipsrc,ipdst  
chi-15       10           10           10           10           10           
sj-12        69           1            10           10           66           
imc1         40           10           29           13           30           
imc2         20           10           14           10           20           
mawi-15      45           10           36           14           36           
