             5-tuple      * (global)   ipdst        ipdst/16     ipsrc,ipdst  
chi-15       30           9            30           30           30           
sj-12        28           1            2            2            27           
imc1         21           3            17           6            20           
imc2         9            2            5            2            9            
mawi-15      27           2            18           4            19           
