             5-tuple      * (global)   ipdst        ipdst/16     ipsrc,ipdst  
chi-15       129          87           138          184          132          
sj-12        213          0            20           20           209          
imc1         209          29           162          59           199          
imc2         88           18           52           18           88           
mawi-15      258          19           171          39           178          
