# caida-chi15-opp-dim
# quelen-Q-W=10-16-16
# 99^{th}\% latency (cycles) (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         
1.0                              0.0                              0.0                              0.0                              0.0                              
2.0                              5.0                              2.0                              2.0                              2.0                              
3.0                              11.0                             3.0                              3.0                              4.0                              
4.0                              18.0                             5.0                              5.0                              6.0                              
5.0                              28.0                             7.0                              7.0                              8.0                              
6.0                              43.0                             9.0                              9.0                              10.0                             
7.0                              60.0                             11.0                             11.0                             12.0                             
8.0                              74.0                             13.0                             13.0                             14.0                             
9.0                              87.0                             16.0                             16.0                             16.0                             
10.0                             98.0                             18.0                             18.0                             18.0                             
11.0                             109.0                            20.0                             20.0                             20.0                             
12.0                             119.0                            22.0                             22.0                             23.0                             
13.0                             129.0                            24.0                             24.0                             27.0                             
14.0                             139.0                            26.0                             26.0                             32.0                             
15.0                             149.0                            28.0                             29.0                             37.0                             
16.0                             159.0                            32.0                             33.0                             42.0                             
17.0                             169.0                            37.0                             38.0                             46.22                            
18.0                             179.0                            42.0                             43.0                             50.0                             
19.0                             189.0                            47.0                             47.0                             54.0                             
20.0                             199.0                            52.0                             52.0                             60.0                             
21.0                             209.0                            57.0                             57.0                             67.44                            
22.0                             219.0                            62.0                             61.0                             75.0                             
23.0                             229.0                            66.0                             66.0                             83.0                             
24.0                             239.0                            70.0                             71.0                             93.0                             
25.0                             249.0                            76.0                             76.0                             102.0                            
26.0                             259.0                            83.0                             83.0                             113.82                           
27.0                             269.0                            91.0                             91.0                             127.0                            
28.0                             279.0                            100.0                            98.0                             143.0                            
29.0                             289.0                            108.0                            107.0                            162.0                            
30.0                             299.0                            116.0                            122.0                            180.0                            
