             5-tuple      * (global)   ipdst        ipdst/16     ipsrc,ipdst  
chi-15       30           9            30           30           30           
sj-12        16           1            2            2            15           
imc1         13           2            9            5            10           
imc2         6            2            4            2            6            
mawi-15      13           1            10           3            11           
