             5-tuple      * (global)   ipdst        ipdst/16     ipsrc,ipdst  
chi-15       17           36           17           35           16           
sj-12        91           1            43           42           85           
imc1         1            1            1            1            1            
imc2         5            42           49           42           44           
mawi-15      16           31           21           41           16           
