             5-tuple      * (global)   ipdst        ipdst/16     ipsrc,ipdst  
chi-15       30           9            30           30           30           
sj-12        22           2            3            3            20           
imc1         4            3            4            4            4            
imc2         6            2            4            2            5            
mawi-15      24           4            17           7            21           
