# imc2-opp
# Q-W=8-16
# 99^{th}\% latency (cycles) (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         ipsrc,ipdst                      
1.0                              0.0                              0.0                              0.0                              0.0                              0.0                              
2.0                              82.0                             1.0                              2.0                              82.0                             1.0                              
3.0                              50348.09                         12                               113.0                            50249.0                          93.0                             
4.0                              104808.9                         302.0                            5327.0                           104654.21                        322.0                            
5.0                              ?                                697.08                           15411.0                          ?                                784.0                            
6.0                              ?                                997.02                           25889.0                          ?                                1346.03                          
7.0                              ?                                1759.0                           36749.99                         ?                                2205.05                          
8.0                              ?                                2724.12                          52477.16                         ?                                3248.0                           
9.0                              ?                                3958.1                           74306.0                          ?                                4379.36                          
10.0                             ?                                5912.14                          95173.36                         ?                                5674.0                           
11.0                             ?                                8128.16                          ?                                ?                                8601.0                           
12.0                             ?                                10579.03                         ?                                ?                                11704.0                          
13.0                             ?                                13441.1                          ?                                ?                                14830.0                          
14.0                             ?                                16118                            ?                                ?                                18146.01                         
15.0                             ?                                20888.0                          ?                                ?                                22244.03                         
16.0                             ?                                29205.94                         ?                                ?                                26562.85                         
17.0                             ?                                44502.92                         ?                                ?                                32483.25                         
18.0                             ?                                70096.1                          ?                                ?                                38731.31                         
19.0                             ?                                ?                                ?                                ?                                44975.0                          
20.0                             ?                                ?                                ?                                ?                                51110.0                          
21.0                             ?                                ?                                ?                                ?                                ?                                
22.0                             ?                                ?                                ?                                ?                                ?                                
23.0                             ?                                ?                                ?                                ?                                ?                                
24.0                             ?                                ?                                ?                                ?                                ?                                
25.0                             ?                                ?                                ?                                ?                                ?                                
26.0                             ?                                ?                                ?                                ?                                ?                                
27.0                             ?                                ?                                ?                                ?                                ?                                
28.0                             ?                                ?                                ?                                ?                                ?                                
29.0                             ?                                ?                                ?                                ?                                ?                                
30.0                             ?                                ?                                ?                                ?                                ?                                
