# imc2-opp
# Q-W=8-16
# 99^{th}\% queue occupancy sum (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         ipsrc,ipdst                      
1.0                              1.0                              1.0                              1.0                              1.0                              1.0                              
2.0                              42.0                             2.0                              2.0                              42.0                             2.0                              
3.0                              16813.0                          5.0                              45.0                             16776.01                         40.0                             
4.0                              26237.0                          140.0                            1513.0                           26196.0                          136.01                           
5.0                              ?                                267.0                            3388.0                           ?                                252.01                           
6.0                              ?                                347.01                           4775.0                           ?                                346.01                           
7.0                              ?                                461.0                            8466.0                           ?                                459.01                           
8.0                              ?                                557.0                            11842.0                          ?                                552.01                           
9.0                              ?                                666.0                            15251.01                         ?                                647.0                            
10.0                             ?                                853.0                            17831.0                          ?                                828.0                            
11.0                             ?                                1050.01                          ?                                ?                                1086.0                           
12.0                             ?                                1241.0                           ?                                ?                                1359.0                           
13.0                             ?                                1453.0                           ?                                ?                                1571.01                          
14.0                             ?                                1636.0                           ?                                ?                                1880.0                           
15.0                             ?                                1817.01                          ?                                ?                                2163.0                           
16.0                             ?                                1972.01                          ?                                ?                                2442.0                           
17.0                             ?                                2853.0                           ?                                ?                                2736.0                           
18.0                             ?                                4290.0                           ?                                ?                                3013.0                           
19.0                             ?                                ?                                ?                                ?                                3260.01                          
20.0                             ?                                ?                                ?                                ?                                3489.0                           
21.0                             ?                                ?                                ?                                ?                                ?                                
22.0                             ?                                ?                                ?                                ?                                ?                                
23.0                             ?                                ?                                ?                                ?                                ?                                
24.0                             ?                                ?                                ?                                ?                                ?                                
25.0                             ?                                ?                                ?                                ?                                ?                                
26.0                             ?                                ?                                ?                                ?                                ?                                
27.0                             ?                                ?                                ?                                ?                                ?                                
28.0                             ?                                ?                                ?                                ?                                ?                                
29.0                             ?                                ?                                ?                                ?                                ?                                
30.0                             ?                                ?                                ?                                ?                                ?                                
