             5-tuple      * (global)   ipdst        ipdst/16     ipsrc,ipdst  
chi-15       95           96           97           100          96           
sj-12        100          90           52           50           100          
imc1         100          100          100          100          100          
imc2         100          42           84           42           82           
mawi-15      100          100          100          93           100          
