             5-tuple      * (global)   ipdst        ipdst/16     ipsrc,ipdst  
chi-15       21           7            21           21           21           
sj-12        3            1            1            1            3            
imc1         2            2            2            2            2            
imc2         3            2            3            2            3            
mawi-15      2            1            2            1            2            
