             5-tuple      * (global)   ipdst        ipdst/16     ipsrc,ipdst  
chi-15       17           36           17           35           16           
sj-12        32           1            1            1            27           
imc1         1            1            1            1            1            
imc2         5            1            49           42           1            
mawi-15      8            1            9            14           8            
