             5-tuple      * (global)   ipdst        ipdst/16     ipsrc,ipdst  
chi-15       10           36           9            23           9            
sj-12        83           1            42           39           74           
imc1         1            1            1            1            1            
imc2         5            42           30           42           39           
mawi-15      15           31           19           37           15           
