             5-tuple      * (global)   ipdst        ipdst/16     ipsrc,ipdst  
chi-15       12           36           11           24           11           
sj-12        91           1            43           40           76           
imc1         1            1            1            1            1            
imc2         5            42           31           42           40           
mawi-15      16           31           19           39           16           
