             5-tuple      * (global)   ipdst        ipdst/16     ipsrc,ipdst  
chi-15       122          282          126          221          120          
sj-12        741          0            79           72           512          
imc1         0            0            0            0            0            
imc2         12           82           75           82           88           
mawi-15      37           60           49           129          37           
