# caida-chi15-opp
# Q-W=16-16
# 99^{th}\% latency (cycles) (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         ipsrc,ipdst                      
1.0                              0.0                              0.0                              0.0                              0.0                              0.0                              
2.0                              5.0                              2.0                              2.0                              2.0                              2.0                              
3.0                              11.0                             3.0                              3.0                              4.0                              3.0                              
4.0                              19.0                             5.0                              5.0                              6.0                              5.0                              
5.0                              31.0                             7.0                              7.0                              8.0                              7.0                              
6.0                              51.0                             9.0                              9.0                              10.0                             9.0                              
7.0                              118.0                            11.0                             11.0                             12.0                             11.0                             
8.0                              282.0                            13.0                             14.0                             14                               14.0                             
9.0                              1282.03                          16.0                             16.0                             16.0                             16.0                             
10.0                             7549.0                           18.0                             18.0                             18.0                             18.0                             
11.0                             ?                                20.0                             20.0                             20.0                             20.0                             
12.0                             ?                                22.0                             22.0                             23.0                             22.0                             
13.0                             ?                                24.0                             24.0                             28.0                             24.0                             
14.0                             ?                                26.0                             26.0                             33.0                             26.0                             
15.0                             ?                                28.0                             29.0                             38.0                             29.0                             
16.0                             ?                                32.0                             33.0                             43.0                             33.0                             
17.0                             ?                                38.0                             38.0                             47.0                             39.0                             
18.0                             ?                                43.0                             43.0                             51.0                             43.0                             
19.0                             ?                                48.0                             48.0                             54.0                             48.0                             
20.0                             ?                                53.0                             54.0                             63.0                             53.0                             
21.0                             ?                                58.0                             58.0                             73.0                             58.0                             
22.0                             ?                                62.0                             63.0                             83.0                             62.0                             
23.0                             ?                                66.0                             67                               89.0                             66.0                             
24.0                             ?                                72.0                             72                               100.0                            72.0                             
25.0                             ?                                78.0                             79                               113.0                            78.0                             
26.0                             ?                                86.0                             87                               126.0                            86.0                             
27.0                             ?                                95.0                             95                               146.0                            94                               
28.0                             ?                                104.0                            104.0                            171.0                            102                              
29.0                             ?                                112.0                            114.02                           194.0                            110                              
30.0                             ?                                122                              126.0                            221.0                            120.0                            
