# caida-chi15-opp
# Q-W=8-16
# 99^{th}\% latency (cycles) (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         
1.0                              0.0                              0.0                              0.0                              0.0                              
2.0                              5.0                              2.0                              2.0                              2.0                              
3.0                              11.0                             3.0                              3.0                              4.0                              
4.0                              19.0                             5.0                              5.0                              6.0                              
5.0                              31.0                             7.0                              7.0                              8.0                              
6.0                              51.0                             9.0                              9.0                              10.0                             
7.0                              118.0                            11.0                             12.0                             12.0                             
8.0                              282.0                            14.0                             14.0                             14.0                             
9.0                              1282.03                          16.0                             16.0                             16.0                             
10.0                             7549.0                           18.0                             18.0                             18.0                             
11.0                             ?                                20.0                             20.0                             21.0                             
12.0                             ?                                22.0                             22.0                             25.0                             
13.0                             ?                                24.0                             24.0                             30.0                             
14.0                             ?                                26.0                             27.0                             35.0                             
15.0                             ?                                30.0                             31.01                            40.0                             
16.0                             ?                                36.0                             37.0                             45.0                             
17.0                             ?                                40.0                             42.0                             48.0                             
18.0                             ?                                45.0                             47.0                             55.0                             
19.0                             ?                                50.0                             52.0                             64.0                             
20.0                             ?                                55.0                             56.0                             72.0                             
21.0                             ?                                60.0                             61.0                             80.0                             
22.0                             ?                                65.0                             66.0                             89.0                             
23.0                             ?                                71.0                             72                               99.0                             
24.0                             ?                                78.0                             80                               113.0                            
25.0                             ?                                86.0                             88                               129.0                            
26.0                             ?                                96.0                             97                               144.0                            
27.0                             ?                                104.0                            105.01                           162.0                            
28.0                             ?                                114.0                            116.0                            187.0                            
29.0                             ?                                124                              127.0                            219.0                            
30.0                             ?                                137                              144.0                            259.0                            
