             5-tuple      * (global)   ipdst        ipdst/16     ipsrc,ipdst  
chi-15       9            10           9            10           9            
sj-12        90           1            10           10           86           
imc1         40           10           39           13           40           
imc2         21           10           14           10           21           
mawi-15      47           10           40           14           40           
