# mawi15-opp-dim
# quelen-Q-W=10-4-16
# Fract. packets dropped (99^{th}%)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         
1.0                              0.0                              0.0                              0.0                              0.0                              
2.0                              0.037073                         0.0022994                        0.0025838                        0.0068858                        
3.0                              0.0921851                        0.0047876                        0.0063154                        0.024549                         
4.0                              0.1438828                        0.0067474                        0.0096842                        0.041336                         
5.0                              0.1987828                        0.0086422                        0.0130572                        0.058638                         
6.0                              0.2582582                        0.0102726                        0.0167236                        0.0788531                        
7.0                              0.3179922                        0.0118662                        0.020881                         0.0985919                        
8.0                              0.3755792                        0.013321                         0.025573                         0.1185096                        
9.0                              0.4291092                        0.0149462                        0.024989                         0.1396348                        
10.0                             0.4774552                        0.0173738                        0.0284592                        0.1644388                        
11.0                             0.5208534                        0.020184                         0.0300564                        0.1875088                        
12.0                             0.5588902                        0.0231088                        0.036098                         0.2086784                        
13.0                             0.5921682                        0.0264832                        0.0428956                        0.2292496                        
14.0                             0.621143                         0.0306198                        0.0504164                        0.2491096                        
15.0                             0.6463576                        0.0345644                        0.0577304                        0.2685306                        
16.0                             0.6684436                        0.038924                         0.066073                         0.2872684                        
17.0                             0.6879358                        0.0438618                        0.075548                         0.3058074                        
18.0                             0.70527                          0.0502709                        0.0857688                        0.3244642                        
19.0                             0.7207706                        0.0565775                        0.0970058                        0.342591                         
20.0                             0.734731                         0.0643868                        0.1084684                        0.3605762                        
21.0                             0.7473544                        0.072852                         0.1214064                        0.3786456                        
22.0                             0.7588328                        0.082317                         0.134733                         0.3960186                        
23.0                             0.7693182                        0.0924684                        0.1483132                        0.4135152                        
24.0                             0.7789226                        0.1044914                        0.1623222                        0.4295238                        
25.0                             0.7877568                        0.115757                         0.1774468                        0.444392                         
26.0                             0.7959222                        0.1277426                        0.1913972                        0.4591654                        
27.0                             0.80348                          0.139425                         0.2058224                        0.4725112                        
28.0                             0.8104908                        0.1526672                        0.2196024                        0.4853576                        
29.0                             0.817025                         0.165134                         0.2336334                        0.4982942                        
30.0                             0.823114                         0.1773786                        0.2468058                        0.5100086                        
