# mawi15-opp-dim
# quelen-Q-W=10-1-16
# 99^{th}\% latency (cycles) (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         
1.0                              0.0                              0.0                              0.0                              0.0                              
2.0                              19.0                             13.0                             14.0                             17.0                             
3.0                              29.0                             21.0                             23.0                             27.0                             
4.0                              39.0                             28.0                             31.0                             36.0                             
5.0                              49.0                             32.0                             36.0                             44.0                             
6.0                              59.0                             39.0                             44.0                             53.0                             
7.0                              69.0                             46.0                             51.0                             62.0                             
8.0                              79.0                             53.0                             57.13                            71.0                             
9.0                              89.0                             60.0                             65.0                             80.0                             
10.0                             99.0                             67.0                             72.0                             89.0                             
11.0                             109.0                            74.0                             80.0                             97.0                             
12.0                             119.0                            81.0                             86.0                             105.0                            
13.0                             129.0                            88.0                             93.0                             113.0                            
14.0                             139.0                            94.0                             100.0                            122.0                            
15.0                             149.0                            102.37                           107.0                            131.0                            
16.0                             159.0                            110.0                            115.0                            139.0                            
17.0                             169.0                            116.0                            122.0                            148.0                            
18.0                             179.0                            125.0                            132.0                            158.0                            
19.0                             189.0                            135.0                            144.0                            167.0                            
20.0                             199.0                            146.0                            155.0                            179.0                            
21.0                             209.0                            160.0                            166.0                            193.0                            
22.0                             219.0                            174.0                            181.0                            206.0                            
23.0                             229.0                            185.0                            196.0                            219.0                            
24.0                             239.0                            205.0                            210.0                            230.0                            
25.0                             249.0                            216.0                            222.0                            241.0                            
26.0                             259.0                            229.0                            234.0                            251.0                            
27.0                             269.0                            241.0                            243.0                            262.0                            
28.0                             279.0                            250.0                            262.0                            272.0                            
29.0                             289.0                            260.0                            273.0                            283.0                            
30.0                             299.0                            272.72                           284.0                            293.0                            
