# mawi15-opp-dim
# quelen-Q-W=10-4-16
# 99^{th}\% latency (cycles) (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         
1.0                              0.0                              0.0                              0.0                              0.0                              
2.0                              19.0                             10.0                             12.0                             18.0                             
3.0                              29.0                             17.0                             22.0                             29.0                             
4.0                              39.0                             26.0                             31.87                            39.0                             
5.0                              49.0                             34.0                             41.0                             49.0                             
6.0                              59.0                             43.0                             50.0                             59.0                             
7.0                              69.0                             52.0                             59.0                             69.0                             
8.0                              79.0                             61.0                             69                               79.0                             
9.0                              89.0                             70.0                             76.0                             89.0                             
10.0                             99.0                             80.0                             85.0                             99.0                             
11.0                             109.0                            89.0                             90                               109.0                            
12.0                             119.0                            93.0                             99.0                             119.0                            
13.0                             129.0                            102.0                            109.0                            129.0                            
14.0                             139.0                            111.0                            119.0                            139.0                            
15.0                             149.0                            114.0                            129.0                            149.0                            
16.0                             159.0                            123.0                            140.0                            159.0                            
17.0                             169.0                            132.0                            150.0                            169.0                            
18.0                             179.0                            141.0                            161.0                            179.0                            
19.0                             189.0                            152.0                            171.0                            189.0                            
20.0                             199.0                            164.0                            182.0                            199.0                            
21.0                             209.0                            178.0                            193.0                            209.0                            
22.0                             219.0                            189.0                            205.64                           219.0                            
23.0                             229.0                            202.42                           216.0                            229.0                            
24.0                             239.0                            214.0                            228.0                            239.0                            
25.0                             249.0                            228.0                            238.0                            249.0                            
26.0                             259.0                            242.0                            249.0                            259.0                            
27.0                             269.0                            254.0                            259.13                           269.0                            
28.0                             279.0                            266.0                            270.0                            279.0                            
29.0                             289.0                            277.0                            281.0                            289.0                            
30.0                             299.0                            288.0                            292.0                            299.0                            
