# mawi15-opp-dim
# quelen-Q-W=10-8-16
# 99^{th}\% queue occupancy sum (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         
1.0                              1.0                              1.0                              1.0                              1.0                              
2.0                              10.0                             7.0                              8.0                              10.0                             
3.0                              10.0                             10.0                             10.0                             12.0                             
4.0                              10.0                             10.0                             11.0                             14.0                             
5.0                              10.0                             11.0                             13.0                             17.0                             
6.0                              10.0                             13.0                             16.0                             18.0                             
7.0                              10.0                             14.0                             18.0                             19.0                             
8.0                              10.0                             16.0                             20.0                             20.0                             
9.0                              10.0                             18.0                             22.0                             20.0                             
10.0                             10.0                             20.0                             24.0                             20.0                             
11.0                             10.0                             22.0                             26.0                             20.0                             
12.0                             10.0                             23.0                             27.0                             21.0                             
13.0                             10.0                             25.0                             29.0                             21.0                             
14.0                             10.0                             26.0                             30.0                             21.0                             
15.0                             10.0                             28.0                             32.0                             22.0                             
16.0                             10.0                             29.0                             33.0                             22.0                             
17.0                             10.0                             30.0                             35.0                             23.0                             
18.0                             10.0                             32.0                             36.0                             23.0                             
19.0                             10.0                             33.0                             37.0                             24.0                             
20.0                             10.0                             35.0                             39.0                             24.0                             
21.0                             10.0                             36.0                             40.0                             25.0                             
22.0                             10.0                             38.0                             41.0                             25.0                             
23.0                             10.0                             39.0                             42.0                             26.0                             
24.0                             10.0                             41.0                             43.0                             26.0                             
25.0                             10.0                             42.0                             44.0                             27.0                             
26.0                             10.0                             43.0                             45.0                             27.0                             
27.0                             10.0                             45.0                             46.0                             28.0                             
28.0                             10.0                             46.0                             46.0                             28.0                             
29.0                             10.0                             47.0                             47.0                             29.0                             
30.0                             10.0                             48.0                             48.0                             29.0                             
