# mawi15-opp-dim
# quelen-Q-W=10-16-16
# 99^{th}\% latency (cycles) (max)
# Pipeline depth (clock cycles)  * (global)                       5-tuple                          ipdst                            ipdst/16                         
1.0                              0.0                              0.0                              0.0                              0.0                              
2.0                              19.0                             9.0                              11.0                             18.0                             
3.0                              29.0                             16.0                             22.0                             29.0                             
4.0                              39.0                             24.0                             31.0                             39.0                             
5.0                              49.0                             33.0                             41.0                             49.0                             
6.0                              59.0                             42.0                             51.0                             59.0                             
7.0                              69.0                             52.0                             61.0                             69.0                             
8.0                              79.0                             62.0                             71.0                             79.0                             
9.0                              89.0                             71.0                             81.0                             89.0                             
10.0                             99.0                             81.0                             91.0                             99.0                             
11.0                             109.0                            91.0                             102.0                            109.0                            
12.0                             119.0                            102.0                            112.0                            119.0                            
13.0                             129.0                            112.0                            119.0                            129.0                            
14.0                             139.0                            123.0                            130.0                            139.0                            
15.0                             149.0                            134.0                            140.0                            149.0                            
16.0                             159.0                            144.0                            151.0                            159.0                            
17.0                             169.0                            154.0                            162.0                            169.0                            
18.0                             179.0                            165.0                            173.0                            179.0                            
19.0                             189.0                            173.0                            184.0                            189.0                            
20.0                             199.0                            184.0                            195.0                            199.0                            
21.0                             209.0                            194.0                            205.0                            209.0                            
22.0                             219.0                            205.0                            216.0                            219.0                            
23.0                             229.0                            216.0                            226.0                            229.0                            
24.0                             239.0                            229.0                            236.0                            239.0                            
25.0                             249.0                            240.0                            247.0                            249.0                            
26.0                             259.0                            248.0                            257.0                            259.0                            
27.0                             269.0                            260.0                            267.0                            269.0                            
28.0                             279.0                            271.0                            277.0                            279.0                            
29.0                             289.0                            282.0                            287.0                            289.0                            
30.0                             299.0                            292.0                            298.0                            299.0                            
