             5-tuple      * (global)   ipdst        ipdst/16     ipsrc,ipdst  
chi-15       30           10           30           30           30           
sj-12        25           2            3            3            24           
imc1         21           4            19           9            21           
imc2         14           2            5            2            13           
mawi-15      28           5            24           9            24           
