             5-tuple      * (global)   ipdst        ipdst/16     ipsrc,ipdst  
chi-15       18           100          18           35           17           
sj-12        397          90           100          100          359          
imc1         259          100          234          115          254          
imc2         276          42           102          42           229          
mawi-15      318          100          328          117          311          
