             5-tuple      * (global)   ipdst        ipdst/16     ipsrc,ipdst  
chi-15       175          995          192          320          186          
sj-12        1298         171          285          283          1270         
imc1         2098         398          1721         900          2099         
imc2         1390         82           489          82           1283         
mawi-15      2090         499          2025         846          1951         
